Time, Price, Networth,
35, 0.21225, 1013.97, 
132, 0.21225, 1013.97, 
228, 0.21225, 1013.97, 
324, 0.21136962, 1011.25, 
420, 0.21136962, 1011.25, 
516, 0.21136962, 1011.25, 
587, 0.21136962, 1011.25, 
661, 0.21136962, 1011.25, 
782, 0.21136962, 1011.25, 
878, 0.21136962, 1011.25, 
949, 0.21136962, 1011.25, 
1045, 0.21136962, 1011.25, 
1141, 0.21136962, 1011.25, 
1238, 0.21136962, 1011.25, 
1334, 0.21136962, 1011.25, 
1430, 0.21136962, 1011.25, 
1526, 0.21136962, 1011.25, 
1622, 0.21136962, 1011.25, 
1718, 0.21136962, 1011.25, 
1815, 0.21006102, 1009.25, 
1911, 0.21006102, 1009.25, 
2007, 0.21006102, 1009.25, 
2103, 0.21006102, 1009.25, 
2199, 0.21006102, 1009.25, 
2295, 0.21006102, 1009.25, 
2391, 0.21006102, 1009.25, 
2487, 0.21006102, 1009.25, 
2584, 0.21006102, 1009.25, 
2680, 0.21006102, 1009.25, 
2775, 0.21006102, 1009.25, 
2872, 0.21006102, 1009.25, 
2968, 0.21006102, 1009.25, 
3064, 0.21006102, 1009.25, 
3160, 0.21044296, 1009.4, 
18504, 0.21044296, 1009.4, 
81081, 0.208708, 1008.77, 
86011, 0.20970774, 1009.13, 
95964, 0.20471019, 1007.29, 
96034, 0.20471019, 1007.29, 
158694, 0.20578975, 1007.72, 
162840, 0.20578975, 1007.72, 
173843, 0.20578975, 1007.72, 
180683, 0.202, 1006.27, 
186429, 0.202, 1006.27, 
337243, 0.21674195, 1011.84, 
337853, 0.21013052, 1009.36, 
339873, 0.21013052, 1009.36, 
355574, 0.21013052, 1009.36, 
384779, 0.21013052, 1009.39, 
384849, 0.21491922, 1011.12, 
404526, 0.21491922, 1011.12, 
404563, 0.21491922, 1011.12, 
409557, 0.208334, 1008.71, 
409570, 0.208334, 1008.71, 
409667, 0.202, 1006.38, 
409731, 0.202, 1006.38, 
409737, 0.202, 1006.38, 
409879, 0.202, 1006.38, 
409886, 0.202, 1006.38, 
410053, 0.202, 1006.38, 
410060, 0.202, 1006.38, 
410175, 0.202, 1006.38, 
410182, 0.202, 1006.38, 
410349, 0.202, 1006.38, 
410356, 0.202, 1006.38, 
410445, 0.202, 1006.38, 
410452, 0.202, 1006.38, 
410567, 0.202, 1006.38, 
410575, 0.202, 1006.38, 
410723, 0.202, 1006.38, 
410793, 0.202, 1006.38, 
410793, 0.202, 1006.38, 
425860, 0.21674195, 1011.81, 
441294, 0.21244585, 1010.22, 
441389, 0.21354727, 1010.63, 
510434, 0.21363597, 1010.77, 
512357, 0.21477282, 1011.21, 
522280, 0.216, 1011.68, 
532678, 0.21670743, 1011.95, 
596771, 0.23001, 1016.92, 
596867, 0.23001, 1016.92, 
608909, 0.2322, 1017.73, 
612205, 0.23001, 1016.98, 
682422, 0.2329023, 1018.07, 
682518, 0.23298632, 1018.1, 
685650, 0.23001, 1017.06, 
717925, 0.225, 1015.24, 
792960, 0.23255814, 1017.99, 
860650, 0.23944998, 1020.46, 
876443, 0.23754573, 1019.78, 
892148, 0.23772999, 1019.85, 
907837, 0.23945, 1020.46, 
907934, 0.23999, 1020.65, 
908469, 0.24356998, 1021.9, 
924154, 0.24434998, 1022.17, 
958606, 0.249, 1023.76, 
958676, 0.249, 1023.76, 
972850, 0.24218642, 1021.43, 
973255, 0.248, 1023.45, 
979549, 0.24744505, 1023.26, 
979697, 0.24165, 1021.28, 
981271, 0.23553245, 1019.15, 
991080, 0.22805364, 1016.45, 
