Time, XRP(Price), Cash, Market Value, Shares,
2968, 0.21006102, 916.8712668291146, 92.37414827118036, 439.749118, 
3064, 0.21006102, 925.5731794417894, 83.67222935667492, 398.323446, 
3160, 0.21044296, 933.4696774417894, 75.92786058349128, 360.800193, 
18504, 0.21044296, 933.4696774417894, 75.92785216577289, 360.800153, 
81081, 0.208708, 933.4696774417894, 75.301869984004, 360.800113, 
86011, 0.20970774, 932.3151509977894, 76.81479197913775, 366.294501, 
95964, 0.20471019, 930.7741291057894, 76.51450089926512, 373.769869, 
96034, 0.20471019, 930.7741291057894, 76.51450089926512, 373.769869, 
158694, 0.20578975, 929.0982099577894, 78.6241458925215, 382.060554, 
162840, 0.20578975, 929.0982099577894, 78.6241376609315, 382.060514, 
173843, 0.20578975, 929.0982099577894, 78.6241294293415, 382.060474, 
180683, 0.202, 929.0982099577894, 77.176207668, 382.060434, 
186429, 0.202, 929.0982099577894, 77.176199588, 382.060394, 
337243, 0.21674195, 930.2601219577894, 81.58473709533445, 376.414151, 
337853, 0.21013052, 931.8110259577893, 77.54519095602451, 369.033451, 
339873, 0.21013052, 931.8110259577893, 77.54518255080372, 369.033411, 
355574, 0.21013052, 931.8110259577893, 77.54517414558292, 369.033371, 
384779, 0.21013052, 933.2898629577893, 76.09928137699087, 362.152444, 
384849, 0.21491922, 933.2898629577893, 77.83352078557368, 362.152444, 
404526, 0.21491922, 933.2898629577893, 77.83351218880487, 362.152404, 
404563, 0.21491922, 933.2898629577893, 77.83350789042048, 362.152384, 
409557, 0.208334, 932.0919789717893, 76.62094497790599, 367.779359, 
409570, 0.208334, 932.0919789717893, 76.62094497790599, 367.779359, 
409667, 0.202, 932.0919789717893, 74.291418398, 367.779299, 
409731, 0.202, 932.0919789717893, 74.291410318, 367.779259, 
409737, 0.202, 932.0919789717893, 74.291410318, 367.779259, 
409879, 0.202, 932.0919789717893, 74.29139011800001, 367.779159, 
409886, 0.202, 932.0919789717893, 74.29139011800001, 367.779159, 
410053, 0.202, 932.0919789717893, 74.29136587800001, 367.779039, 
410060, 0.202, 932.0919789717893, 74.29136587800001, 367.779039, 
410175, 0.202, 932.0919789717893, 74.291349718, 367.778959, 
410182, 0.202, 932.0919789717893, 74.291349718, 367.778959, 
